income,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,effective_to_date
56274,32,5,0,1,384.811147,8
0,13,42,0,8,1131.464935,5
48767,18,38,0,2,566.472247,8
0,18,65,0,7,529.881344,3
43836,12,44,0,1,138.130879,5
62902,14,94,0,2,159.383042,4
55350,0,13,0,9,321.6,8
0,0,68,0,4,363.02968,3
14072,13,3,0,2,511.2,4
28812,17,7,0,8,425.527834,7
0,23,5,0,3,482.4,8
0,27,87,0,3,528.0,1
77026,9,82,2,3,472.029737,6
99845,23,25,1,8,528.0,2
83689,21,10,2,8,307.139132,3
24599,12,50,1,2,42.920271,3
25049,14,7,0,1,454.245098,6
28855,12,59,0,1,647.442031,1
51148,9,1,0,7,308.981664,9
66140,11,21,0,3,484.8,2
57749,31,21,0,1,355.2,8
13789,8,49,0,1,379.2,3
14072,13,3,0,2,511.2,4
0,4,44,3,1,554.376763,8
17870,30,91,0,1,439.2,6
97541,22,1,0,3,389.185006,5
0,15,47,0,1,799.2,9
10511,33,64,0,1,516.237951,7
86584,33,54,2,2,532.8,5
75690,17,44,1,1,384.0,6
23158,4,6,1,1,322.294043,9
65999,1,14,0,6,615.927769,4
0,19,56,0,3,308.15089,4
54500,28,17,0,6,302.4,3
37260,19,42,0,8,15.437681,7
68987,11,40,0,6,204.475147,3
42305,10,62,0,2,561.6,2
65706,19,86,0,8,436.8,6
0,7,79,0,1,648.0,4
53243,4,15,2,1,157.397849,6
0,7,1,1,1,484.318536,3
50071,3,32,0,1,18.918935,2
60021,12,28,0,1,882.871945,4
43244,15,16,0,2,494.4,6
92834,15,56,0,1,292.8,8
10105,5,4,3,3,0.517753,4
0,7,57,3,5,579.165954,5
23218,7,10,0,4,447.79344,1
0,11,77,0,1,529.624084,6
0,11,56,0,1,313.023175,3
24804,1,28,0,2,593.830288,3
33190,18,95,0,2,508.8,2
36014,4,40,3,2,173.956072,8
29834,19,44,0,3,307.2,7
16701,20,26,0,1,831.625979,3
46623,1,53,0,3,436.8,6
64749,24,59,0,2,302.56519,7
0,29,12,0,1,484.8,8
16969,34,47,2,1,704.768111,4
11621,4,98,0,1,518.4,9
17622,1,36,1,3,312.0,1
11489,4,50,0,6,504.0,4
0,20,53,0,1,863.327324,3
66525,0,86,0,2,104.331355,4
0,21,28,0,2,676.391482,4
33663,29,71,0,1,350.4,5
22547,7,60,0,3,537.6,4
61486,5,65,0,2,465.258644,2
0,13,20,0,5,456.0,4
29879,17,0,0,2,500.254235,2
93011,17,12,0,2,281.451042,8
65186,29,27,0,1,5.434505,6
26840,1,47,2,1,307.2,7
0,30,3,1,5,982.399613,5
75644,5,68,3,9,467.803638,3
38984,27,38,0,2,350.4,6
71811,17,48,0,6,29.03416,5
20961,20,33,0,2,321.6,7
38923,6,83,2,2,115.728852,6
61321,0,30,1,2,427.63121,9
0,20,26,0,2,25.807685,4
51066,23,0,0,8,787.993313,9
34378,12,54,0,1,489.6,4
43072,35,15,0,1,302.4,3
25222,28,69,0,3,475.623251,4
36765,15,32,1,2,320.849072,9
23091,28,90,5,5,460.8,4
48269,3,79,3,1,282.151207,1
32720,13,12,0,1,321.6,5
20396,15,60,1,4,364.8,8
21513,21,81,1,2,679.827592,4
72540,7,3,0,2,631.743039,9
80744,24,84,0,1,11.879037,3
52822,23,88,0,1,350.529033,6
0,8,10,1,9,863.3947,4
69738,2,26,1,2,492.127532,8
17780,12,18,0,9,132.588288,7
18107,29,11,0,8,297.6,7
57740,30,87,3,9,269.905129,4
32627,11,60,0,7,380.036697,8
0,3,65,0,3,513.6,2
0,24,10,0,1,425.266308,5
65795,2,85,1,3,49.011099,2
60475,9,18,0,1,513.6,7
0,28,88,0,4,936.0,6
41837,29,93,0,9,142.062768,3
32303,13,34,0,2,45.152521,1
0,5,89,1,3,561.6,2
40531,17,32,0,9,30.567357,4
79898,5,86,1,1,271.606799,7
56398,4,18,0,7,408.0,9
35257,16,2,1,8,470.4,7
27804,19,54,0,7,784.8,9
45506,16,32,2,2,316.8,8
65196,0,54,0,2,396.082036,5
0,11,70,1,3,489.6,7
20993,35,90,0,1,638.4,7
37839,35,77,0,9,465.633954,3
92711,24,10,0,1,368.400146,3
74665,10,90,2,1,236.902001,6
0,26,89,0,1,582.679087,8
46833,6,3,0,9,64.109663,1
88768,17,77,0,7,326.4,4
28262,9,77,0,3,921.6,2
33555,17,11,0,1,101.89645,7
42780,10,27,1,2,542.4,1
58850,20,26,0,1,143.747794,6
